SMILES;MW;LogP;HBD;HBA;TPSA;RotatableBonds;Lipinski;Veber;PAINS;Brenk;Status
CC(OC(C=C1)=CC=C1OC2=CC=C(C(F)(F)F)C=C2)=O;296.24399999999997;4.423000000000002;0.0;3.0;35.53;3.0;True;True;False;True;
N=C(NC(OC)=O)NC(C=C1)=CC=C1OC2=CC=CC=C2;285.303;3.1815700000000016;3.0;4.0;83.44;3.0;True;True;False;True;
COC1=NC(NC(C=C2)=CC=C2OC3=CC=CC=C3)=NO1;283.28700000000003;3.6141000000000014;1.0;6.0;69.41;5.0;True;True;False;False;
NN1C2=CC=CC=C2OCC1;150.18099999999995;0.7591000000000001;1.0;3.0;38.489999999999995;0.0;True;True;False;True;
O=C(NNC(OC)=O)NNC(OC)=O;206.158;-1.1724000000000006;4.0;5.0;117.79000000000002;0.0;True;True;False;True;
BrC1=CC=CC(NC([S-])=S)=C1.CC[NH+](CC)CC;349.36300000000017;2.623800000000001;2.0;2.0;16.47;4.0;True;True;False;True;
O=C(OC(C)(C)C)N1CCN(CC2=CC=C(Cl)C(Cl)=C2)CC1;345.2700000000001;4.046100000000004;0.0;3.0;32.78;2.0;True;True;False;False;
N=C(NC(OC)=O)NC(C=C1)=CC=C1OC2=CC=CC=C2;285.303;3.1815700000000016;3.0;4.0;83.44;3.0;True;True;False;True;
NC(N1C[C@@H](C)O[C@@H](C)C1)=O;158.20099999999994;0.1742999999999999;1.0;2.0;55.559999999999995;0.0;True;True;False;False;
ClC1=CC(Cl)=CC(N2C(NN=C2S)=O)=C1;262.12100000000004;2.1560999999999995;2.0;4.0;50.68;1.0;True;True;False;True;
COC1=CC=C(NC(CC(CC(O)=O)(C)C)=O)C=C1;265.30899999999997;2.5247;2.0;3.0;75.63;6.0;True;True;False;False;
BrC1=CC=CC(N2C(NN=C2S)=O)=C1;272.127;1.6117999999999995;2.0;4.0;50.68;1.0;True;True;False;True;
COC1=CC=CC(NC(NNC(OCC)=O)=S)=C1;269.32599999999996;1.6426999999999998;3.0;4.0;71.62;3.0;True;True;False;True;
BrC1=CC=CC(N2C(NN=C2S)=O)=C1;272.127;1.6117999999999995;2.0;4.0;50.68;1.0;True;True;False;True;
SC1=NNC(N1C2=CC(OC)=CC=C2)=O;223.25699999999998;0.8578999999999999;2.0;5.0;59.910000000000004;2.0;True;True;False;True;
ClC1=CC=C(N2)C(C=CC2=O)=C1;179.606;2.1814999999999998;1.0;1.0;32.86;0.0;True;True;False;False;
ClC1=CC=C2C(C=CC(O/C=C/C(NC3=CC=C(Cl)C=C3)=O)=N2)=C1;359.21200000000005;5.072800000000003;1.0;3.0;51.22;4.0;True;True;False;True;
O=C(NN(CC)C1=O)N1C2=CC=CC=C2;205.217;0.34719999999999973;1.0;4.0;59.79;2.0;True;True;False;False;
ClC1=CC(Cl)=CC(N2C(NN=C2S)=O)=C1;262.12100000000004;2.1560999999999995;2.0;4.0;50.68;1.0;True;True;False;True;
BrC1=CC=CC(N2C(NN=C2S)=O)=C1;272.127;1.6117999999999995;2.0;4.0;50.68;1.0;True;True;False;True;
BrC1=CC=CC(NC(NNC(OCC)=O)=S)=C1;318.196;2.3966000000000003;3.0;3.0;62.38999999999999;2.0;True;True;False;True;
COC1=CC(CN2CCNCC2)=CC=C1;206.28900000000002;1.1003999999999996;1.0;3.0;24.5;3.0;True;True;False;False;
O=C(NN)OCN1C2=CC=CC=C2C3=C1C=CC=C3;255.27700000000002;2.3518999999999997;2.0;4.0;69.28;2.0;True;True;False;True;
ClC1=CC=CC(NC(NNC(OCC)=O)=S)=C1;273.74499999999995;2.2874999999999996;3.0;3.0;62.38999999999999;2.0;True;True;False;True;
O=C(NNC(NC1=CC(SC(F)(F)F)=CC=C1)=O)NC2=CC(SC(F)(F)F)=CC=C2;470.42;5.768600000000002;4.0;4.0;82.26;4.0;True;True;False;True;
O=C(NN=C1S)N1C2=CC=CC=C2;193.23100000000002;0.8492999999999999;2.0;4.0;50.68;1.0;True;True;False;True;
ClC1=CC=C2C(C=CC(O/C=C/C(NC3=CC=C(Cl)C=C3)=O)=N2)=C1;359.21200000000005;5.072800000000003;1.0;3.0;51.22;4.0;True;True;False;True;
O=C(OC(C)(C)C)N1CCN(CC2=CC=C(Cl)C(Cl)=C2)CC1;345.2700000000001;4.046100000000004;0.0;3.0;32.78;2.0;True;True;False;False;
COC1=NC(NC(C=C2)=CC=C2OC3=CC=CC=C3)=NO1;283.28700000000003;3.6141000000000014;1.0;6.0;69.41;5.0;True;True;False;False;
N1(CC2=CC=C(C3=CC=CC=C3)C=C2)CCNCC1;252.36099999999996;2.7588;1.0;2.0;15.27;3.0;True;True;False;False;
ClC1=C(Cl)C=C(N2)C(NC(C3=O)=C2C3=O)=C1;255.05999999999997;2.3899999999999997;2.0;4.0;58.199999999999996;0.0;True;True;False;True;
O=C(N(CC)N(CC)C1=O)N1C2=CC=CC=C2;233.27100000000002;0.8404999999999996;0.0;5.0;48.93;3.0;True;True;False;False;
O=C(C(OC1=CC=C(Cl)C=C1)=O)NN2CCOCC2;284.69900000000007;0.6087999999999998;1.0;5.0;67.87;2.0;True;True;False;True;
C12=CC=CC=C1CCN(C3=NC(C=CC=C4)=C4O3)C2;250.30100000000002;3.390500000000002;0.0;3.0;29.270000000000003;1.0;True;True;False;False;
O=C(OC1=CC=C(Cl)C=C1)NN2CCCCC2;254.71699999999996;2.829300000000001;1.0;3.0;41.57;2.0;True;True;False;False;
O=C(OC1=CC=C(CC(OC)=O)C=C1)NN2CC3=CC=CC=C3CC2;340.3790000000001;2.463800000000001;1.0;5.0;67.86999999999999;4.0;True;True;False;False;
O=C1C2=C(S(CC(O)=O)(=O)=O)SC(C(O)=O)=C2CC(C)(C)C1;346.3820000000002;1.4597000000000002;2.0;6.0;125.81;4.0;True;True;False;False;
O=C1C2=C(S(C)(=O)=O)SC(C(C3=CC=CC=C3F)=O)=C2CC(C)(C)C1;380.4620000000002;3.6768000000000027;0.0;5.0;68.28;3.0;True;True;False;False;
O=C(OC1=CC=C(C(OC)=O)C=C1)NN2CC3=CC=CC=C3CC2;326.3520000000001;2.5349000000000004;1.0;5.0;67.86999999999999;3.0;True;True;False;False;
O=C(OC1=CC=C(Br)C=C1)NN2CC3=CC=CC=C3CC2;347.2120000000001;3.5108000000000015;1.0;3.0;41.57;2.0;True;True;False;False;
O=C(OC1=CC=C(Br)C=C1)NN2CC3=CC=CC=C3CC2;347.2120000000001;3.5108000000000015;1.0;3.0;41.57;2.0;True;True;False;False;
O=C(OC1=CC=C(OC)C=C1)NN2CC3=CC=CC=C3CC2;298.3420000000001;2.756900000000001;1.0;4.0;50.800000000000004;3.0;True;True;False;False;
O=C(OCC1=CC=C(OC)C=C1)NN2CC3=CC=CC=C3CC2;312.3690000000001;2.894700000000001;1.0;4.0;50.800000000000004;4.0;True;True;False;False;
O=C(OC1=CC=C(Br)C=C1)NN2CC3=CC=CC=C3CC2;347.2120000000001;3.5108000000000015;1.0;3.0;41.57;2.0;True;True;False;False;
O=C(OC1=C(OC)C=CC=C1)NN2CC3=CC=CC=C3CC2;298.3420000000001;2.756900000000001;1.0;4.0;50.800000000000004;3.0;True;True;False;False;
O=C(OC1=CC=C(F)C=C1)NN2CC3=CC=CC=C3CC2;286.3060000000001;2.8874000000000013;1.0;3.0;41.57;2.0;True;True;False;False;
O=C(OC(C)(C)C1=CC=C(C2=CC=CC=C2)C=C1)NN3CC4=CC=CC=C4CC3;386.49500000000023;5.288200000000005;1.0;3.0;41.57;4.0;True;True;False;False;
O=C(C(OC)=O)NN1CCOCC1;188.18299999999996;-1.4771999999999992;1.0;5.0;67.87;1.0;True;True;False;True;
O=C(C(OC)=O)NN1CCOCC2;;;;;;;;;;;Invalid
O=C(OC1=CC=C(NC(OC(C)(C)C)=O)C=C1)NN2C(COC)CCCC2;379.4570000000002;3.5379000000000023;2.0;6.0;89.13;5.0;True;True;False;False;
O=C(OC1=CC=C(Cl)C=C1)NN2CCN(C)CC2;269.732;1.5907999999999998;1.0;4.0;44.81;2.0;True;True;False;False;
ClC1=CC=C(OC(N(N(C)C)C(OC2=CC=C(Cl)C=C2)=O)=O)C=C1;369.20400000000006;4.469800000000003;0.0;5.0;59.080000000000005;3.0;True;True;False;True;
O=C(OC1=CC=CC=C1)NN=C2C3=C(OCC2)C=CC=C3;282.2989999999999;2.961800000000001;1.0;4.0;59.92;2.0;True;True;False;True;
BN(NC(OC1=CC=CC=C1)=O)C2CCOCC2;248.09099999999992;0.7190999999999994;1.0;4.0;50.8;3.0;True;True;False;True;
O=C(OC1=CC=CC=C1)N/N=C2CCOCC/2;234.2549999999999;1.9413999999999998;1.0;4.0;59.92;2.0;True;True;False;True;
O=C(OC1=CC=CC=C1)NNC2CCOCC2;236.27099999999993;1.4586;2.0;4.0;59.59;3.0;True;True;False;True;
O=C(OC1=CC=CC=C1)N/N=C2CCOCC/2;234.2549999999999;1.9413999999999998;1.0;4.0;59.92;2.0;True;True;False;True;
O=C(OC1=CC=CC=C1)N/N=C2CCSCC/2;250.32299999999992;2.6580000000000004;1.0;4.0;50.69;2.0;True;True;False;True;
O=C(OC1=CC=C(Cl)C=C1)NN2CCCC2;240.68999999999997;2.4392000000000005;1.0;3.0;41.57;2.0;True;True;False;False;
O=C(OC1=CC=C(Cl)C=C1)NN2CCCC2;240.68999999999997;2.4392000000000005;1.0;3.0;41.57;2.0;True;True;False;False;
N1(CC2=CC=C(C3=CC=CC=C3)C=C2)CCNCC1;252.36099999999996;2.7588;1.0;2.0;15.27;3.0;True;True;False;False;
O=C(OC1=CC=C(Cl)C=C1)NC2=NC=CS2;254.69800000000004;3.4074;1.0;4.0;51.22;2.0;True;True;False;False;
O=C(OC1=CC=C(Cl)C=C1)NC2=NC=CS2;254.69800000000004;3.4074;1.0;4.0;51.22;2.0;True;True;False;False;
CC(N(C1=CC=CC=C1)NC(OC2=CC=C(Cl)C=C2)=O)=O;304.733;3.3965000000000014;1.0;3.0;58.64;2.0;True;True;False;True;
O=C(OC1=CC=C(Cl)C=C1)NC2=NC=CS2;254.69800000000004;3.4074;1.0;4.0;51.22;2.0;True;True;False;False;
O=C(OC1=CC=C(Cl)C=C1)NC2=NC=CS2;254.69800000000004;3.4074;1.0;4.0;51.22;2.0;True;True;False;False;
O=C(OC1=CC=C(Cl)C=C1)NC2=NC3=CC=CC=C3C=C2;298.72900000000004;4.499100000000002;1.0;3.0;51.22;2.0;True;True;False;False;
O=C(OCC1=CC=CC=C1)NCCC2=NC=CC=C2;256.30499999999995;2.5505000000000004;1.0;3.0;51.22;5.0;True;True;False;False;
O=C(OC1=CC=C(Cl)C=C1)NN(CCO2)C3=C2C=CC=C3;304.733;3.242400000000001;1.0;4.0;50.8;2.0;True;True;False;False;
O=C(OC1=CC=C(Cl)C=C1)NC2=CC=CC=N2;248.66900000000004;3.345900000000001;1.0;3.0;51.22;2.0;True;True;False;False;
C/C(C1=CC=CC=C1)=N/NC(OC2=CC=CC=C2)=O;254.289;3.199200000000002;1.0;3.0;50.690000000000005;3.0;True;True;False;True;
O=C(OC1=CC=C(Cl)C=C1)NC2=NC3=CC=CC=C3C=C2;298.72900000000004;4.499100000000002;1.0;3.0;51.22;2.0;True;True;False;False;
O=C(OC1=C(F)C=CC=C1)NN2CC3=CC=CC=C3CC2;286.3060000000001;2.8874000000000013;1.0;3.0;41.57;2.0;True;True;False;False;
C/C(C)=N\NC(OC1=CC=CC=C1)=O;192.218;2.1708;1.0;3.0;50.690000000000005;2.0;True;True;False;True;
